,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
112,2024-03-06,177.76225654093253,170.5904936114842,182.62651422076135,177.76225654093253,177.76225654093253,-0.967061861133148,-0.967061861133148,-0.967061861133148,-0.967061861133148,-0.967061861133148,-0.967061861133148,0.0,0.0,0.0,176.79519467979938
113,2024-03-07,177.50430628778147,170.6193470651349,182.69610908946976,177.50430628778147,177.50430628778147,-0.9233588977198544,-0.9233588977198544,-0.9233588977198544,-0.9233588977198544,-0.9233588977198544,-0.9233588977198544,0.0,0.0,0.0,176.58094739006162
114,2024-03-08,177.2463560346304,170.53215101245496,182.80950019495796,177.2463560346304,177.2463560346304,-0.5093569928249251,-0.5093569928249251,-0.5093569928249251,-0.5093569928249251,-0.5093569928249251,-0.5093569928249251,0.0,0.0,0.0,176.73699904180546
115,2024-03-11,176.4725052751772,169.77500460751125,181.43111845692857,176.4725052751772,176.4725052751772,-0.8164784817772202,-0.8164784817772202,-0.8164784817772202,-0.8164784817772202,-0.8164784817772202,-0.8164784817772202,0.0,0.0,0.0,175.6560267934
116,2024-03-12,176.21455502202616,169.493025207006,181.18830528371848,176.21455502202616,176.21455502202616,-0.9413880343395276,-0.9413880343395276,-0.9413880343395276,-0.9413880343395276,-0.9413880343395276,-0.9413880343395276,0.0,0.0,0.0,175.27316698768664
117,2024-03-13,175.9566047688751,169.57850665461382,180.86420434392147,175.9566047688751,175.9566047688751,-0.9670618611335056,-0.9670618611335056,-0.9670618611335056,-0.9670618611335056,-0.9670618611335056,-0.9670618611335056,0.0,0.0,0.0,174.9895429077416
118,2024-03-14,175.69865451572406,168.86266843891718,180.2955485867411,175.69865451572406,175.69865451572406,-0.9233588977204871,-0.9233588977204871,-0.9233588977204871,-0.9233588977204871,-0.9233588977204871,-0.9233588977204871,0.0,0.0,0.0,174.77529561800358
119,2024-03-15,175.44070426257298,169.03358170169895,180.97413402443826,175.44070426257298,175.44070426257298,-0.509356992824879,-0.509356992824879,-0.509356992824879,-0.509356992824879,-0.509356992824879,-0.509356992824879,0.0,0.0,0.0,174.9313472697481
120,2024-03-18,174.71242576563756,167.71834560921755,179.984178348054,174.71242576563756,174.71242576563756,-0.8164784817706378,-0.8164784817706378,-0.8164784817706378,-0.8164784817706378,-0.8164784817706378,-0.8164784817706378,0.0,0.0,0.0,173.89594728386692
121,2024-03-19,174.4696662666591,167.90468498855924,179.38826184322176,174.4696662666591,174.4696662666591,-0.9413880343390001,-0.9413880343390001,-0.9413880343390001,-0.9413880343390001,-0.9413880343390001,-0.9413880343390001,0.0,0.0,0.0,173.52827823232008
